Input file,Input len_rag,Output file_rag,Output len_rag,Tokens_rag,Taken time_rag,Capture_rag,Input len_new,Output file_new,Output len_new,Tokens_new,Taken time_new,Capture_new,Time saved,Tokens saved,Time saved per 300 words,Tokens saved per 300 words,Token saving percentage
input_files\RTG-CPR-DLC-BreakingYourStuffv1.1_md_form_for_input.md,5452.0,input_files\RTG-CPR-DLC-BreakingYourStuffv1.1_md_form_for_input_output_3.md,2366.0,1373147.0,255.05587469999955,396,5452.0,input_files\RTG-CPR-DLC-BreakingYourStuffv1.1_md_form_for_input_output.md,2015.0,47210.0,220.5409153999999,400.0,34.514959299999646,1325937.0,1.8992090590608757,72960.58327219369,96.56191216235406
input_files\RTG-CPR-DLC-HalloweenScreamsheets_md_form_for_input.md,6279.0,input_files\RTG-CPR-DLC-HalloweenScreamsheets_md_form_for_input_output_1.md,3426.0,1760949.0,362.68501090000063,335,6279.0,input_files\RTG-CPR-DLC-HalloweenScreamsheets_md_form_for_input_output.md,2762.0,60215.0,342.06494309999925,482.0,20.62006780000138,1700734.0,0.9851919636885513,81258.19397993312,96.58053697182599
input_files\RTG-CPR-DLC-DangerGalDossierPlus_md_form_for_input.md,5243.0,input_files\RTG-CPR-DLC-DangerGalDossierPlus_md_form_for_input_output_1.md,3032.0,1433216.0,478.1492769000033,305,5243.0,input_files\RTG-CPR-DLC-DangerGalDossierPlus_md_form_for_input_output.md,2528.0,51404.0,237.6520246,456.0,240.4972523000033,1381812.0,13.76104819568968,79066.10719053977,96.41338081629007
input_files\RTG-CPR-DLC-DidSomeoneSayMurder_md_form_for_input.md,5435.0,input_files\RTG-CPR-DLC-DidSomeoneSayMurder_md_form_for_input_output_1.md,2016.0,1276237.0,264.94831799999884,305,5435.0,input_files\RTG-CPR-DLC-DidSomeoneSayMurder_md_form_for_input_output.md,1855.0,43197.0,221.11425529999903,320.0,43.834062699999805,1233040.0,2.4195434793008173,68061.08555657773,96.61528383834664
input_files\RTG-CPR-DLC-HopeRebornPlusv1.1_md_form_for_input.md,9945.0,input_files\RTG-CPR-DLC-HopeRebornPlusv1.1_md_form_for_input_output_1.md,5766.0,3071373.0,619.2838838999996,422,9945.0,input_files\RTG-CPR-DLC-HopeRebornPlusv1.1_md_form_for_input_output.md,5005.0,97113.0,500.3934752000023,671.0,118.89040869999735,2974260.0,3.586437668174882,89721.2669683258,96.83812418745623
,,,,,,1763,,,,,,2329.0,,,,,
