Input file,Input len,Output file,Output len,Tokens,Taken time,Capture
d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest.md,28705,d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest_output_1.md,7641,131986,5020.557319099986
d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest.md,416,d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest_output_2.md,116,2030,286.28473750001285
d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest.md,416,d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest_output_4.md,100,1908,124.5025006000069
d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest.md,416,d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest_output_5.md,116,2036,85.46685000002617
d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest.md,416,d:\BaiduSyncdisk\桌游\program_translator\output_files\MinerU_Agency_rest_output_6.md,116,2029,79.02230720000807
d:\BaiduSyncdisk\桌游\program_translator\output_files\1.md,1023,d:\BaiduSyncdisk\桌游\program_translator\output_files\1_output.md,333,6358,228.20724770001834
d:\BaiduSyncdisk\桌游\City of Mist\ilovepdf_split-range\City of Mist - Local Legends-1-82.md,41057,d:\BaiduSyncdisk\桌游\City of Mist\ilovepdf_split-range\City of Mist - Local Legends-1-82_output.md,17843,307578,10844.8795484
d:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\MinerU_《赤红传说》92-111-收割死神.md,10240,d:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说第一季\MinerU_《赤红传说》92-111-收割死神_output.md,4564,85222,2529.7406569999876
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》20-37-欲望代理.md,10527,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》20-37-欲望代理_output.md,3381,79382,459.1939250000287
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》38-51.md,8212,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》38-51_output.md,2377,50978,491.52570900006685
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》52-73.md,10522,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》52-73_output.md,3864,70487,697.2202378999209
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》112-127.md,6736,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》112-127_output.md,2344,49778,468.87915970000904
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》112-127.md,6736,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》112-127_output.md,2436,50365,436.8431146000512
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》176-181.md,2042,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》176-181_output.md,765,13065,75.93555599998217
D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\RTG-CPR-TotR-HopeRebornv1.1_8-19.md,7121,D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\RTG-CPR-TotR-HopeRebornv1.1_8-19_output.md,2297,35327,294.1619947999716
d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》128-149.md,11752,d:\BaiduSyncdisk\桌游\program_translator\input_files\《赤红传说》128-149_output.md,3452,64139,454.4271066999936
d:\新建文件夹\MinerU_markdown_Pullinen - 2024 - Boundary extension for visual views in virtual reality_intermediate\MinerU_markdown_Pullinen - 2024.md,15433,d:\新建文件夹\MinerU_markdown_Pullinen - 2024 - Boundary extension for visual views in virtual reality_intermediate\MinerU_markdown_Pullinen - 2024_output_2.md,3955,69659,247.48249439999927
d:\新建文件夹\MinerU_Lost_in_the_Lights__20251126111002.md,52841,d:\新建文件夹\MinerU_Lost_in_the_Lights__20251126111002_output_2.md,15453,326958,1231.8040767000057
c:\Users\PC\Downloads\MinerU_AEJMC_Ruoyu.md,6438,c:\Users\PC\Downloads\MinerU_AEJMC_Ruoyu_output.md,2279,35284,149.53216629999224
C:\Users\PC\Downloads\Delta Green RPG - Adv - From The Dust_md_for_input.md,15993,C:\Users\PC\Downloads\Delta Green RPG - Adv - From The Dust_md_for_input_output.md,5309,68327,231.53502619999927
C:\Users\PC\Downloads\Delta Green RPG - Adv - From The Dust_md_for_input.md,15993,C:\Users\PC\Downloads\Delta Green RPG - Adv - From The Dust_md_for_input_output.md,5564,77415,248.45786840000073
C:\Users\PC\Downloads\Steal Like an Artist_md_for_input.md,10108,C:\Users\PC\Downloads\Steal Like an Artist_md_for_input_output.md,3042,37281,124.5876641000068
C:\Users\PC\Downloads\Delta_Green_-_The_New_Age_APU8151(1)_md_for_input.md,32731,C:\Users\PC\Downloads\Delta_Green_-_The_New_Age_APU8151(1)_md_for_input_output.md,8671,170354,421.9339643000858
D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\RTG-CPR-TotR-HopeRebornv1.1_20-41_md_for_input.md,11467,D:\BaiduSyncdisk\桌游\赛博朋克红\赤红传说系列\赤红传说：希望重生\RTG-CPR-TotR-HopeRebornv1.1_20-41_md_for_input_output.md,4632,53190,209.6053225999931
input_files\Essentials of Compassion Focused Therapy_md_for_input.md,141065,input_files\Essentials of Compassion Focused Therapy_md_for_input_output.md,15999,789702,2569.2111600000644
D:\BaiduSyncdisk\桌游\赛博朋克红\RTG-CPR-SoloOfFortune2045_md_for_input.md,21865,D:\BaiduSyncdisk\桌游\赛博朋克红\RTG-CPR-SoloOfFortune2045_md_for_input_output.md,7255,118310,1881.6135333001148
D:\BaiduSyncdisk\桌游\赛博朋克红\RTG-CPR-DLC-NoPlaceLikeHome_md_for_input.md,4351,D:\BaiduSyncdisk\桌游\赛博朋克红\RTG-CPR-DLC-NoPlaceLikeHome_md_for_input_output.md,1541,29117,108.57902409999997
